"","gene_symbol","logFC","logCPM","PValue","FDR"
"MSTRG.6117|SFTPA2","ENSG00000251823|RNA5SP162",6.35697131418976,6.98439196030062,8.07109629995721e-08,0.000544659575328355
"MSTRG.35943|TPRG1","MSTRG",-6.4511098911888,6.70265188344693,8.24429842319466e-08,0.000544659575328355
"MSTRG.40337|SPOCK1","MSTRG.10000|ERC1",-9.62935139167932,4.31768066552156,2.67938658226268e-06,0.0118009116371456
"MSTRG.35768|RNA5SP149","MSTRG.10006|FBXL14",4.59336459189397,8.4219254813826,9.66996814583937e-06,0.0118196109455143
"MSTRG.47827|MMP16","MSTRG.10008|ADIPOR2",-5.21734959892733,4.42771538210127,1.06944316261253e-05,0.0118196109455143
"MSTRG.11999|SLC41A2","MSTRG.10017|DCP1B",-9.17544881114709,3.91234283349896,1.25666315251322e-05,0.0118196109455143
"MSTRG.4483|RNA5S2","MSTRG.10018|CACNA1C",4.46762129438084,11.732283599612,1.69830823077829e-05,0.0118196109455143
"MSTRG.4486|RNA5S5","MSTRG.1001|ZNF362",4.46984558643316,11.7895324504904,1.71587107334874e-05,0.0118196109455143
"MSTRG.4491|RNA5S10","MSTRG.10022|CACNA1C-AS4",4.46608009433599,11.8165770231748,1.72198149335883e-05,0.0118196109455143
"MSTRG.4496|RNA5S15","MSTRG.10034|FKBP4",4.46069893852813,11.8386418699357,1.80342268643079e-05,0.0118196109455143
"MSTRG.4497|RNA5S16","MSTRG.10036|ITFG2",4.46356443085425,11.8613325823874,1.81087380046703e-05,0.0118196109455143
"MSTRG.4490|RNA5S9","MSTRG.10037|NRIP2",4.316660235875,7.90453165481871,1.81310014305848e-05,0.0118196109455143
"MSTRG.4485|RNA5S4","MSTRG.10039|FOXM1",4.45138157762175,11.7718515753335,1.83461956821702e-05,0.0118196109455143
"MSTRG.4488|RNA5S7","MSTRG.10040|RHNO1",4.44787133080592,11.786362197952,1.84833993084803e-05,0.0118196109455143
"MSTRG.4493|RNA5S12","MSTRG.10040|TULP3",4.43700710683077,11.8088083646702,1.89598138327107e-05,0.0118196109455143
"MSTRG.4492|RNA5S11","MSTRG.10046|TSPAN9",4.43439213113926,11.8450232254869,1.98759991217639e-05,0.0118196109455143
"MSTRG.4495|RNA5S14","MSTRG.10053|LINC02827",4.42804933991281,11.829930580601,1.99105358609574e-05,0.0118196109455143
"MSTRG.4487|RNA5S6","MSTRG.10059|CRACR2A",4.43004071808113,11.7852919280298,1.99501604237606e-05,0.0118196109455143
"MSTRG.4489|RNA5S8","MSTRG.1005|PHC2",4.42872029040415,11.7940770591416,1.99532973614479e-05,0.0118196109455143
"MSTRG.4494|RNA5S13","MSTRG.10062|PARP11",4.43311566371322,11.8290368450908,2.00213476159581e-05,0.0118196109455143
"MSTRG.45124|CACNA2D1","MSTRG.10063|OTUD4P1",-9.07155986636709,3.82180448536488,2.00426186321114e-05,0.0118196109455143
"MSTRG.4498|RNA5S17","MSTRG.10069|CCND2",4.41848425580302,11.8277136278108,2.07998799351464e-05,0.0118196109455143
"MSTRG.4484|RNA5S3","MSTRG.10069|TIGAR",4.41477950464113,11.7638884407896,2.0872080680665e-05,0.0118196109455143
"MSTRG.4482|RNA5S1","MSTRG.10073|C12orf4",4.40255423560602,11.686848832718,2.14690579499238e-05,0.0118196109455143
"MSTRG.29141|FAM171B","MSTRG.10075|NDUFA9",-4.29087155827637,4.82565324181301,2.41553089190729e-05,0.0121815647566441
"MSTRG.43517|ARMT1","MSTRG.10099|VWF",-9.01219215082374,3.76767698214145,2.50279392573098e-05,0.0121815647566441
"MSTRG.10402|PLBD1","MSTRG.1009|ZSCAN20",-9.00664027160794,3.76413062948518,2.59885308705639e-05,0.0121815647566441
"MSTRG.41269|RNA5SP202","MSTRG.10102|CD9",4.13803786752432,7.33592293896404,2.86264261170932e-05,0.0121815647566441
"MSTRG.15892|RNA5SP389","MSTRG.10105|PLEKHG6",4.32082964263423,11.4611674375667,2.91268059815242e-05,0.0121815647566441
"MSTRG.51410|WNK3","MSTRG.10106|TNFRSF1A",-8.7439483692767,3.53170955002774,2.91694331333824e-05,0.0121815647566441
"MSTRG.31438|5_8S_rRNA","MSTRG.10108|SCNN1A",4.20100363411838,11.3069023933484,3.18835080949001e-05,0.0121815647566441
"MSTRG.35417|RNA5SP145","MSTRG.10109|LTBR",4.24129633811712,9.00456969235583,3.18990289289305e-05,0.0121815647566441
"MSTRG.29168|ASNSD1","MSTRG.10113|CD27-AS1",-8.91916715211522,3.68672664885325,3.23802533678061e-05,0.0121815647566441
"MSTRG.31451|RNA5-8SN1","MSTRG.10114|TAPBPL",4.18561707738451,11.2770566398158,3.27614786172792e-05,0.0121815647566441
"MSTRG.35671|PLD1","MSTRG.10115|VAMP1",-4.24325766706945,4.56570447579358,3.37002049180748e-05,0.0121815647566441
"MSTRG.13206|MED4","MSTRG.10118|MRPL51",-8.66611919544092,3.46537178635247,3.46171342199223e-05,0.0121815647566441
"MSTRG.31430|RNA5-8SN2","MSTRG.10119|NCAPD2",4.17206403323693,11.3130851220339,3.46228960239592e-05,0.0121815647566441
"MSTRG.48888|HACD4","MSTRG.10119|SCARNA10",-4.22115822804757,4.54635128574495,3.59197513469611e-05,0.0121815647566441
"MSTRG.10527|BCAT1","MSTRG.10121|GAPDH",-4.08175989695158,5.24377317560357,3.59555759864619e-05,0.0121815647566441
"MSTRG.31443|RNA5-8SN3","MSTRG.10123|IFFO1",4.15080682156636,11.3359930704302,3.73844883195972e-05,0.0123490311041709
"MSTRG.51044|TMEM47","MSTRG.10125|CHD4",-8.63185320787231,3.43596118646013,3.8336710895631e-05,0.012354706367414
"MSTRG.35537|RARRES1","MSTRG.10125|NOP2",-8.87563095895877,3.64898786455785,4.23454629325283e-05,0.0133216809935118
"MSTRG.42793|MANEA","MSTRG.10129|ING4",-8.61416361242647,3.41981260271441,4.46881191277674e-05,0.0137157940462452
"MSTRG.10141|CD4","MSTRG.10131|ZNF384",-3.9838908344501,4.98447019496778,4.63337793915295e-05,0.0137157940462452
"MSTRG.47677|ZFHX4","MSTRG.10135|COPS7A",-3.75670039335936,5.53130439569423,4.6712384173241e-05,0.0137157940462452
"MSTRG.28677|KIF5C","MSTRG.10137|MLF2",-4.07966459687702,5.26049780211524,5.05865037975752e-05,0.0143264066709055
"MSTRG.34559|MTRNR2L12","MSTRG.10138|PTMS",3.929130810324,8.31739424482093,5.09605020459062e-05,0.0143264066709055
"MSTRG.22813|EPB41L3","MSTRG.10141|CD4",-4.00125701854604,4.79931053294187,5.40566051651832e-05,0.0148713637562228
"MSTRG.21918|PCTP","MSTRG.10142|GPR162",-8.73856834455678,3.52592156572696,5.51499904680932e-05,0.0148713637562228
"MSTRG.47395|LYN","MSTRG.10142|P3H3",-4.05670655831209,4.69068733313432,5.79279780665594e-05,0.0150130867087023
"MSTRG.37412|TSPAN5","MSTRG.10144|CDCA3",-4.47251953504817,4.84425906823359,5.89317615303136e-05,0.0150130867087023
"MSTRG.10834|AMIGO2","MSTRG.10145|USP5",-4.47272588615693,4.31302575392847,5.90842737343917e-05,0.0150130867087023
"MSTRG.19732|CLEC3A","MSTRG.10146|TPI1",4.49661235117737,7.47436741078043,7.09560605519752e-05,0.017548943528652
"MSTRG.33514|GRIP2","MSTRG.10148|ENO2",-4.66395001336554,3.92878085535914,7.22372914582834e-05,0.017548943528652
"MSTRG.7466|MTRNR2L8","MSTRG.10148|LRRC23",3.92327462733756,9.01433148859339,7.30486561776933e-05,0.017548943528652
"MSTRG.43288|PDE7B","MSTRG.10150|ATN1",-8.48150917873164,3.30347896276774,7.6064823609206e-05,0.0179472234705078
"MSTRG.44083|HDAC9","MSTRG.10151|C12orf57",-3.88643317697685,4.76569873451223,8.60965840110664e-05,0.0199577923603197
"MSTRG.11645|E2F7","MSTRG.10153|PTPN6",-8.41080960169818,3.24199348790644,9.31942981485896e-05,0.0212306251971951
"MSTRG.31429","MSTRG.10157|PHB2",3.89687279964261,16.0402160861745,9.97776406172243e-05,0.0223451180589048
"MSTRG.37156|CXCL9","MSTRG.10157|SCARNA12",-3.58234095023599,5.61710775594658,0.000110555626487897,0.0243461915464097
"MSTRG.9340|PDGFD","MSTRG.10158|C1S",-4.24388277956932,3.81555792225795,0.000117930441920662,0.0255445070343887
"MSTRG.44168|MPP6","MSTRG.10158|EMG1",-4.56684503688151,3.54564987233841,0.000123272692729448,0.0262710014360355
"ENSG00000251823|RNA5SP162","MSTRG.10159|LPCAT3",3.87597307757688,4.90971643061923,0.000134128208082214,0.0281307303712744
"MSTRG.48844|CNTLN","MSTRG.10162|C1R",-4.06796916159547,4.02473820810121,0.000136871011120623,0.0282574479677623
